filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,3,20,0.0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_1.png,19,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_2.png,16,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_3.png,85,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_4.png,10,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_5.png,88,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_6.png,19,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_7.png,53,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_8.png,33,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_9.png,98,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_10.png,60,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_11.png,72,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_12.png,40,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_13.png,67,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_14.png,33,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_15.png,9,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_16.png,59,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_17.png,91,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_18.png,47,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_19.png,80,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_20.png,57,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_21.png,52,20,0.0,"(2, 3)","(1, 1)",False,"Cell (2,3)"
image_22.png,43,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_23.png,36,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_24.png,27,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_25.png,41,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_26.png,59,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_27.png,4,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_28.png,93,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_29.png,32,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_30.png,71,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_31.png,42,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_32.png,8,20,0.0,"(2, 3)","(1, 1)",False,"Cell (2,3)"
image_33.png,52,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_34.png,81,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_35.png,46,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_36.png,22,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_37.png,93,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_38.png,80,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_39.png,26,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_40.png,95,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_41.png,14,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_42.png,54,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_43.png,41,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_44.png,95,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_45.png,64,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_46.png,0,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_47.png,46,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_48.png,5,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_49.png,89,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_50.png,17,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_51.png,13,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_52.png,58,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_53.png,29,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_54.png,20,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_55.png,73,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_56.png,33,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_57.png,86,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_58.png,79,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_59.png,69,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_60.png,72,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_61.png,27,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_62.png,42,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_63.png,94,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_64.png,75,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_65.png,47,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_66.png,41,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_67.png,14,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_68.png,6,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_69.png,96,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
