filename,num_distractors,size,colourbin,selected_x,selected_y,actual_center_x,actual_center_y,error_x,error_y,euclidean_error,selected_response
image_0.png,14,20,0,198.0,204.0,114.96108234352708,95.373659020255,83.03891765647292,108.626340979745,136.73018613388308,"(198, 204) 

This is an estimated coordinate for the center of the numeral 5 in the image. The estimation is based on visual analysis and the given dimensions of the image."
image_1.png,81,20,0,198.0,209.0,286.609929625232,72.76614264200893,-88.60992962523198,136.23385735799107,162.51579467493622,"(198, 209)

This estimate is based on visual analysis of the image. The numeral '5' appears to be located slightly left of the center horizontally and slightly above the center vertically within the 400x400 pixel grid. The coordinates provided are an approximate center of the numeral '5'."
image_2.png,60,20,0,198.0,198.0,224.18050196954724,93.39059646265838,-26.180501969547237,104.60940353734162,107.83573615372526,"(198, 198)"
image_3.png,75,20,0,198.0,209.0,374.646989527261,271.9385077099288,-176.64698952726098,-62.938507709928786,187.52443750561423,"(198, 209) 

This is an estimated coordinate for the center of the numeral 5 in the image. The estimation is based on visual analysis and the given dimensions of the image."
image_4.png,16,20,0,198.0,198.0,69.30754377938393,79.35977558976732,128.69245622061607,118.64022441023268,175.0349997463523,"(198, 198) 

This is an estimated coordinate for the center of the numeral 5 in the image. The estimation is based on visual analysis, and the exact center might vary slightly."
image_5.png,10,20,0,320.0,360.0,21.65489220964072,362.8521919954823,298.3451077903593,-2.8521919954823147,298.3587410176216,"(320, 360)"
image_6.png,37,20,0,198.0,209.0,243.39802228930932,101.93328226887346,-45.398022289309324,107.06671773112654,116.2938625788023,"(198, 209)"
image_7.png,8,20,0,320.0,320.0,388.8469266071983,282.732731438692,-68.84692660719833,37.267268561308015,78.28632453549987,"(320, 320)"
image_8.png,10,20,0,200.0,200.0,251.05158054456797,219.2180550526268,-51.05158054456797,-19.218055052626795,54.549037719324666,"(200, 200)"
image_9.png,20,20,0,198.0,209.0,194.04692718058175,88.12069912696471,3.953072819418253,120.87930087303529,120.94392156809458,"(198, 209)"
image_10.png,17,20,0,198.0,102.0,242.7397497624483,72.4257733414831,-44.7397497624483,29.574226658516906,53.63096205789921,"(198, 102)"
image_11.png,61,20,0,198.0,209.0,104.18423322934224,221.9567540051988,93.81576677065776,-12.956754005198803,94.70625939776994,"(198, 209) 

This is an estimated coordinate for the center of the numeral 5 in the image. The estimation is based on visual analysis and the given dimensions of the image."
image_12.png,83,20,0,198.0,209.0,109.87029515166329,204.8446521289864,88.12970484833671,4.155347871013589,88.22761354918357,"(198, 209)

This is an estimated coordinate for the center of the numeral 5 in the image. The estimation is based on visual analysis, and the exact center might vary slightly."
image_13.png,63,20,0,198.0,208.0,102.12890361876931,252.19512069601905,95.87109638123069,-44.195120696019046,105.56739939334925,"(198, 208)"
image_14.png,89,20,0,198.0,209.0,225.5722161311153,64.71466577690211,-27.57221613111531,144.2853342230979,146.89617004623366,"(198, 209)

This estimate is based on visually assessing the position of the numeral 5 among the numeral 2s in the image. The coordinates provided are an approximation of the center of the numeral 5."
image_15.png,26,20,0,198.0,198.0,183.44659497763396,139.84288776921818,14.553405022366036,58.15711223078182,59.95040701086842,"(198, 198)"
image_16.png,61,20,0,198.0,209.0,367.330640034269,279.42673270260286,-169.33064003426898,-70.42673270260286,183.39244895463676,"(198, 209)

This is an estimate based on visual analysis of the image. The numeral ""5"" appears to be located slightly left of the center of the image and a bit below the horizontal midline. The coordinates provided are an approximate center of the numeral ""5"" within the image context."
image_17.png,29,20,0,198.0,209.0,150.6465000991453,27.18159063700852,47.3534999008547,181.81840936299147,187.88370854373883,"(198, 209)"
image_18.png,32,20,0,198.0,318.0,98.88987265536385,335.72212747993353,99.11012734463615,-17.722127479933533,100.6821292220472,"(198, 318)"
image_19.png,87,20,0,198.0,208.0,232.82042348269223,21.33856366712392,-34.820423482692235,186.66143633287606,189.8814201162567,"(198, 208) 

This is an estimated coordinate for the center of the numeral 5 in the image. The estimation is based on visual analysis, and the exactness might vary slightly."
image_20.png,10,20,0,200.0,200.0,31.6153690507431,369.6996658797482,168.3846309492569,-169.69966587974818,239.06350733563582,"(200, 200)"
image_21.png,37,20,0,198.0,209.0,256.4774127163423,98.38173841209483,-58.477412716342315,110.61826158790517,125.12396890575222,"(198, 209) 

This is an estimate based on visual analysis of the image. The numeral ""5"" appears to be located slightly left of the center of the image and a bit below the horizontal midline."
image_22.png,41,20,0,198.0,198.0,78.6161028406867,234.1392496594892,119.3838971593133,-36.139249659489195,124.73395795410481,"(198, 198)"
image_23.png,99,20,0,198.0,209.0,46.004356948633536,202.2659938143592,151.99564305136647,6.734006185640794,152.14474143363174,"(198, 209) 

This is an estimate based on visual analysis of the image. The numeral '5' appears to be located slightly left of the center of the image and a bit below the horizontal midline."
image_24.png,64,20,0,198.0,198.0,115.76093624968736,34.95355006250446,82.23906375031264,163.04644993749554,182.61272804420898,"(198, 198)"
